id,tipo,unidad,incluye,excluye,marca,preferencia,gramaje_ref,g_por_unidad_base,motivo
35,envasado,l,^aceite vegetal\b,spray|oliv|oliva|coco|sesamo|girasol,,,0.9,920,
36,envasado,kg,^margarina\b,light|sin sal,,,,1000,
38,envasado,kg,aji (panca|mirasol|amarillo).*(seco|entero)|aji seco,molido|pasta|en polvo,,,,1000,
41,granel,kg,^apio\b,,,,,1000,
42,granel,kg,^arveja verde\b,congelad|lata|conserva,,,,1000,
44,granel,kg,^brocoli\b,congelad,,,,1000,
46,granel,kg,^cebolla roja\b,encurtid|picad,,,,1000,
47,granel,kg,^choclo\b,congelad|desgranad|lata|conserva|crema,,,,1000,
51,granel,kg,^lechuga\b,,,,,1000,
53,granel,kg,^pepinillo\b,encurtid|conserva|vinagre,,,,1000,
56,granel,kg,^tomate\b,cherry|salsa|pasta|pure|conserva|seco|deshidrat,,,,1000,
57,envasado,kg,verduras? picadas?|picadas? de verduras?,congelad|lata|salmuera|conserva,,,,1000,
58,granel,kg,^zanahoria\b,baby|rallad|picad,,,,1000,
59,granel,kg,^zapallo\b,loche|italiano|picad|trozad,,,,1000,
61,granel,kg,^limon\b,jugo|te |sal ,,,,1000,
62,granel,kg,^mandarina\b,jugo,,,,1000,
64,granel,kg,^manzanas?\b,jugo|compota|deshidrat|chips,,,,1000,
65,granel,kg,^naranjas?\b,jugo|mermelada,,,,1000,
66,granel,kg,^palta\b,guacamole|pulpa,,,,1000,
67,granel,kg,^papaya\b,jugo|picad|trozad,,,,1000,
68,granel,kg,^platano (de la )?isla\b,chips|frito,,,,1000,
69,granel,kg,^platano de seda\b,chips|frito,,,,1000,
72,envasado,kg,^arvejas? .*partida|^arveja partida,,,,,1000,
73,envasado,kg,^fr[ei]jol(es)?\b,lata|conserva|precocid|refrito|pure|enlatad|aderezad|doypack|listo,,,,1000,
75,envasado,kg,^lentejas?\b,lata|conserva|precocid|enlatad,,,,1000,
76,granel,kg,^camote\b,chips|frito|pure,,,,1000,
77,granel,kg,^olluco\b,picad,,,,1000,
78,granel,kg,^papa amarilla\b,picad|pure|prefrita|congelad,,,,1000,
79,granel,kg,^papa blanca\b,picad|pure|prefrita|congelad|procesad,,,,1000,
84,envasado,kg,^azucar (rubia|blanca)\b,impalpable|light|stevia|organic|sobres,,,1,1000,
85,envasado,kg,^cocoa\b,,,,,1000,
86,excluido,un,,,,,,,se vende por caja de filtrantes y la CBA lo da en gramos; falta fijar gramos por filtrante (decision pendiente)
87,envasado,kg,cafe.*instantane|^nescafe,capsula|3 en 1|mezcla|sobres,,,,1000,
89,envasado,kg,^gelatina\b,light|sin azucar|lista|preparad|vaso,,,,1000,
91,envasado,kg,aji .*molido|aji (panca|amarillo|rocoto).*(pasta|crema),,,,,1000,
92,granel,kg,^ajos?\b,molido|pasta|en polvo|sal |negro|chino,,,,1000,
93,envasado,kg,^ajos? .*(molido|pasta)|^pasta de ajo,con sal|aji,,,,1000,
94,envasado,kg,aji-?no-?moto|glutamato,,,,,1000,
95,envasado,kg,^canela entera|canela en rama|^canela\b.*entera,molida|polvo,,,,1000,
99,envasado,kg,^sal (de mesa|de cocina|yodada)|^sal\b,parrill|marina|rosada|maras|gruesa|light|sazonad|ajo,,,1,1000,
100,envasado,kg,sazonador|palillo|color,,sibarita,,,1000,
101,envasado,l,^gaseosa\b,lata|zero|light|sin azucar|energiz,,inca kola|coca cola,1.5,1000,
102,granel,kg,^culantro\b,molido|seco|pasta,,,,1000,
104,excluido,kg,,,,,,,consumo fuera del hogar: no es una compra de supermercado
106,excluido,kg,,,,,,,consumo fuera del hogar: no es una compra de supermercado
107,excluido,kg,,,,,,,consumo fuera del hogar: no es una compra de supermercado
108,excluido,kg,,,,,,,consumo fuera del hogar: no es una compra de supermercado
109,excluido,kg,,,,,,,consumo fuera del hogar: no es una compra de supermercado
110,excluido,kg,,,,,,,consumo fuera del hogar: no es una compra de supermercado
