regla,retailer,fecha,n_items,soles,indice,items_base
arrastre,wong,2026-09-20,701,13153.720000000001,99.99999999999999,701
arrastre,wong,2026-09-21,701,13153.57,99.99885963818599,701
arrastre,wong,2026-09-22,701,13162.29,100.06515267163965,701
arrastre,wong,2026-09-23,701,13170.279999999999,100.12589594426518,701
arrastre,wong,2026-09-24,701,13149.48,99.96776577272436,701
arrastre,wong,2026-09-25,701,13135.880000000001,99.86437296825535,701
imputacion,wong,2026-09-19,701,13153.720000000001,99.99999999999999,701
imputacion,wong,2026-09-20,701,13153.720000000001,99.99999999999999,701
imputacion,wong,2026-09-21,701,13153.57,99.99885963818599,701
imputacion,wong,2026-09-22,701,13162.29,100.06515267163965,701
imputacion,wong,2026-09-23,701,13170.279999999999,100.12589594426518,701
imputacion,wong,2026-09-24,701,13149.48,99.96776577272436,701
imputacion,wong,2026-09-25,701,13135.880000000001,99.86437296825535,701
exclusion,wong,2026-09-19,701,13153.720000000001,100.0,701
exclusion,wong,2026-09-20,700,13143.82,100.0,701
exclusion,wong,2026-09-21,701,13153.57,99.99885877925901,701
exclusion,wong,2026-09-22,701,13162.29,100.06515181214326,701
exclusion,wong,2026-09-23,701,13170.279999999999,100.12589508424703,701
exclusion,wong,2026-09-24,700,13143.53,99.96769344255677,701
exclusion,wong,2026-09-25,699,13092.630000000001,99.86395952129803,701
