retailer,tipo,bin_inf,bin_sup,n
vivanda,cruza_finde,-0.25,-0.15,3
vivanda,cruza_finde,-0.15,-0.1,4
vivanda,cruza_finde,-0.1,-0.05,6
vivanda,cruza_finde,-0.05,-0.02,0
vivanda,cruza_finde,-0.02,0.0,3
vivanda,cruza_finde,0.0,0.02,0
vivanda,cruza_finde,0.02,0.05,0
vivanda,cruza_finde,0.05,0.1,1
vivanda,cruza_finde,0.1,0.15,0
vivanda,cruza_finde,0.15,0.25,1
vivanda,cruza_finde,0.25,0.3,0
vivanda,cruza_finde,0.3,0.5,0
vivanda,cruza_finde,0.5,1.0,0
vivanda,cruza_finde,1.0,10.0,0
vivanda,habil,-1.0,-0.5,0
vivanda,habil,-0.5,-0.3,0
vivanda,habil,-0.3,-0.25,0
vivanda,habil,-0.25,-0.15,0
vivanda,habil,-0.15,-0.1,0
vivanda,habil,-0.1,-0.05,1
vivanda,habil,-0.05,-0.02,0
vivanda,habil,-0.02,0.0,0
vivanda,habil,0.0,0.02,0
vivanda,habil,0.02,0.05,0
vivanda,habil,0.05,0.1,2
vivanda,habil,0.1,0.15,0
vivanda,habil,0.15,0.25,0
vivanda,habil,0.25,0.3,0
vivanda,habil,0.3,0.5,0
vivanda,habil,0.5,1.0,0
vivanda,habil,1.0,10.0,0
wong,cruza_finde,-1.0,-0.5,0
wong,cruza_finde,-0.5,-0.3,8
wong,cruza_finde,-0.3,-0.25,16
wong,cruza_finde,-0.25,-0.15,67
wong,cruza_finde,-0.15,-0.1,33
wong,cruza_finde,-0.1,-0.05,45
wong,cruza_finde,-0.05,-0.02,26
wong,cruza_finde,-0.02,0.0,11
wong,cruza_finde,0.0,0.02,14
wong,cruza_finde,0.02,0.05,18
wong,cruza_finde,0.05,0.1,113
wong,cruza_finde,0.1,0.15,105
wong,cruza_finde,0.15,0.25,89
wong,cruza_finde,0.25,0.3,24
wong,cruza_finde,0.3,0.5,33
wong,cruza_finde,0.5,1.0,16
wong,cruza_finde,1.0,10.0,0
wong,habil,-1.0,-0.5,3
wong,habil,-0.5,-0.3,24
wong,habil,-0.3,-0.25,25
wong,habil,-0.25,-0.15,153
wong,habil,-0.15,-0.1,146
wong,habil,-0.1,-0.05,172
wong,habil,-0.05,-0.02,54
wong,habil,-0.02,0.0,70
wong,habil,0.0,0.02,63
wong,habil,0.02,0.05,113
wong,habil,0.05,0.1,135
wong,habil,0.1,0.15,87
wong,habil,0.15,0.25,120
wong,habil,0.25,0.3,39
wong,habil,0.3,0.5,47
wong,habil,0.5,1.0,16
wong,habil,1.0,10.0,4
